anio,seccion,delito,modalidad_comision,cuest_modulo_envipe_7,cuest_modulo_envipe2025_2,estimacion,porcentaje,total_delito
2020,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,4229131,90.7364,4660898
2020,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,30393,0.6521,4660898
2020,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,29963,0.6429,4660898
2020,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,182199,3.9091,4660898
2020,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,53911,1.1567,4660898
2020,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,29102,0.6244,4660898
2020,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,75182,1.613,4660898
2020,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,31017,0.6655,4660898
2021,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,2342027,43.4031,5395988
2021,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,22510,0.4172,5395988
2021,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,321040,5.9496,5395988
2021,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,2435274,45.1312,5395988
2021,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,201576,3.7357,5395988
2021,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,71371,1.3227,5395988
2021,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,2190,0.0406,5395988
2021,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,4432202,90.2651,4910206
2021,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,24434,0.4976,4910206
2021,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,33064,0.6734,4910206
2021,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,221064,4.5021,4910206
2021,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,38177,0.7775,4910206
2021,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,65677,1.3376,4910206
2021,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,83051,1.6914,4910206
2021,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,12537,0.2553,4910206
2022,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,2361782,43.783,5394290
2022,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,20124,0.3731,5394290
2022,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,269658,4.999,5394290
2022,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,2441178,45.2549,5394290
2022,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,243215,4.5087,5394290
2022,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,54316,1.0069,5394290
2022,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,4017,0.0745,5394290
2022,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,4258130,90.0863,4726724
2022,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,32512,0.6878,4726724
2022,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,51623,1.0922,4726724
2022,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,249201,5.2722,4726724
2022,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,36574,0.7738,4726724
